name,year,place,chef,category,location,ranking
Craigie on Main,2010,Craigie on Main,Tony Maws,Best Chef: Northeast,"Cambridge, Massachusetts",Nominee
Coco500,2010,Coco500,Loretta Keller,Best Chef: Pacific,"San Francisco, California",Semifinalist
Delfina,2010,Delfina,,Outstanding Restaurant,"San Francisco, California",Semifinalist
Xavier's at Piermont,2010,Xavier's at Piermont,Peter Kelly,Best Chef: Northeast,"Piermont, New York",Nominee
Boqueria,2010,Boqueria,Seamus Mullen,Best Chef: New York City,"New York, New York",Semifinalist
Bacchus Management Group,2010,Bacchus Management Group,Tim Stannard,Outstanding Restaurateur,"San Francisco, California",Semifinalist
NoMI at Park Hyatt,2010,NoMI at Park Hyatt,,Outstanding Wine Service,"Chicago, Illinois",Semifinalist
American Seasons,2010,American Seasons,Michael LaScola,Best Chef: Northeast,"Nantucket, Massachusetts",Semifinalist
Water Grill,2010,Water Grill,David LeFevre,Best Chef: Pacific,"Los Angeles, California",Semifinalist
Watershed,2010,Watershed,Scott Peacock,Outstanding Chef,"Decatur, Georgia",Semifinalist
European Cellars/Eric Solomon Selections,2010,European Cellars/Eric Solomon Selections,Eric Solomon,Outstanding Wine & Spirits Professional,"Charlotte, North Carolina",Semifinalist
Textile,2010,Textile,Plinio Sandalio,Outstanding Pastry Chef,"Houston, Texas",Semifinalist
Campanile,2010,Campanile,Mark Peel,Outstanding Chef,"Los Angeles, California",Semifinalist
The Craftsman,2010,The Craftsman,Mike Phillips,Best Chef: Midwest,"Minneapolis, Minnesota",Semifinalist
La Mie,2010,La Mie,Joe Logsdon,Outstanding Pastry Chef,"Des Moines, Iowa",Semifinalist
The Kitchen Table Bistro,2010,The Kitchen Table Bistro,Lara Atkins,Best Chef: Northeast,"Richmond, Vermont",Semifinalist
Lumiére,2010,Lumiére,Michael Leviton,Best Chef: Northeast,"West Newton, Massachusetts",Nominee
Solea at the W South Beach,2010,Solea at the W South Beach,,Best New Restaurant,"Miami Beach, Florida",Semifinalist
Al's French Frys,2010,Al's French Frys,,America's Classics,"South Burlington, Vermont",Winner
Al's French Frys,2010,Al's French Frys,,America's Classics,,Winner
Petrossian,2010,Petrossian,Benjamin Bailly,Rising Star Chef of the Year,"West Hollywood, California",Semifinalist
"701, Ardeo, Bardea, Bibiana Osteria-Enoteca, The Bombay Club, The Oval Room, and Rasika",2010,"701, Ardeo, Bardea, Bibiana Osteria-Enoteca, The Bombay Club, The Oval Room, and Rasika",Ashok Bajaj,Outstanding Restaurateur,"Washington, District of Columbia",Semifinalist
Union,2010,Union,Ethan Stowell,Best Chef: Northwest,"Seattle, Washington",Nominee
PieLab,2010,PieLab,Project M,Outstanding Restaurant Design,"Greensboro, Alabama",Nominee
Duo,2010,Duo,Yasmin Lozada-Hissom,Outstanding Pastry Chef,"Denver, Colorado",Semifinalist
Gustavus Inn,2010,Gustavus Inn,,America's Classics,"Gustavus, Alaska",Winner
Stella Sola,2010,Stella Sola,Justin Basye,Rising Star Chef of the Year,"Houston, Texas",Semifinalist
Sushi Yasuda,2010,Sushi Yasuda,Naomichi Yasuda,Best Chef: New York City,"New York, New York",Semifinalist
Starr Restaurant Organization,2010,Starr Restaurant Organization,Stephen Starr,Outstanding Restaurateur,"Philadelphia, Pennsylvania",Nominee
Bell's Brewery,2010,Bell's Brewery,Larry Bell,Outstanding Wine & Spirits Professional,"Galesburg, Michigan",Semifinalist
Cosmos,2010,Cosmos,Hakan Lundberg,Best Chef: Midwest,"Minneapolis, Minnesota",Semifinalist
Leah Chase,2010,Leah Chase,,Who's Who of Food & Beverage in America,"New Orleans, Louisiana",Winner
Susan Spicer,2010,Susan Spicer,,Who's Who of Food & Beverage in America,"New Orleans, Louisiana",Winner
Alan Wong's Restaurant,2010,Alan Wong's Restaurant,,Outstanding Restaurant,"Honolulu, Hawaii",Semifinalist
Eos at Viceroy,2010,Eos at Viceroy,,Best New Restaurant,"Miami, Florida",Semifinalist
Jonathan at Gratz Park,2010,Jonathan at Gratz Park,Jonathan Lundy,Best Chef: Southeast,"Lexington, Kentucky",Semifinalist
Michael Smith,2010,Michael Smith,Michael Smith,Outstanding Chef,"Kansas City, Missouri",Semifinalist
V. Mertz,2010,V. Mertz,,Outstanding Wine Service,"Omaha, Nebraska",Semifinalist
Trummer's on Main,2010,Trummer's on Main,,Best New Restaurant,"Clifton, Virginia",Semifinalist
A Mano,2010,A Mano,Joshua Smith,Rising Star Chef of the Year,"New Orleans, Louisiana",Semifinalist
A Mano,2010,A Mano,,Best New Restaurant,"Oakland, California",Semifinalist
Terroir,2010,Terroir,,Outstanding Restaurant Graphics,"New York, New York",Nominee
"Bones, Luca d'Italia, Mizuna, and Osteria Marco",2010,"Bones, Luca d'Italia, Mizuna, and Osteria Marco",Frank Bonanno,Outstanding Restaurateur,"Denver, Colorado",Semifinalist
The Passenger,2010,The Passenger,Derek Brown,Outstanding Wine & Spirits Professional,"Washington, District of Columbia",Semifinalist
Shafer Vineyards,2010,Shafer Vineyards,John Shafer,Outstanding Wine & Spirits Professional,"Napa, California",Winner
The Capitol Grille at the Hermitage Hotel,2010,The Capitol Grille at the Hermitage Hotel,Tyler Brown,Best Chef: Southeast,"Nashville, Tennessee",Semifinalist
James,2010,James,James Burke,Best Chef: Great Lakes,"Philadelphia, Pennsylvania",Semifinalist
The Bazaar by Jose Andres at SLS Hotel at Beverly Hills,2009,The Bazaar by Jose Andres at SLS Hotel at Beverly Hills,Starck Network and SBE Design Team,Outstanding Restaurant Design,"Los Angeles, California",Nominee
Totonno's,2009,Totonno's,,America's Classics,"Brooklyn, New York",Winner
Restaurant Daniel,2009,Restaurant Daniel,,Outstanding Service,"New York, New York",Winner
Yank Sing,2009,Yank Sing,,America's Classics,"San Francisco, California",Winner
Arnold's Country Kitchen,2009,Arnold's Country Kitchen,,America's Classics,"Nashville, Tennessee",Winner
Bartolotta Ristorante di Mare at Wynn Las Vegas,2009,Bartolotta Ristorante di Mare at Wynn Las Vegas,Paul Bartolotta,Best Chef: Southwest,"Las Vegas, Nevada",Winner
Breitbach's Country Dining,2009,Breitbach's Country Dining,,America's Classics,"Sherrill, Iowa",Winner
Ella Brennan,2009,Ella Brennan,,Lifetime Achievement,,Winner
David Burke,2009,David Burke,,Who's Who of Food & Beverage in America,,Winner
Craft,2009,Craft,Tom Colicchio,Outstanding Chef,,Nominee
The Corner Office,2009,The Corner Office,Korn Design,Outstanding Restaurant Graphics,"Denver, Colorado",Winner
City Grocery,2009,City Grocery,John Currence,Best Chef: South,"Oxford, Mississippi",Winner
"Dale DeGroff Co., Inc.",2009,"Dale DeGroff Co., Inc.",Dale Degroff,Outstanding Wine & Spirits Professional,"New York, New York",Winner
Park Kitchen,2009,Park Kitchen,Scott Dolich,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Bin 365,2009,Bin 365,,Outstanding Wine Service,"Chicago, Illinois",Nominee
John Edge,2009,John Edge,,Who's Who of Food & Beverage in America,"Oxford, Mississippi",Winner
Vicki Escarra,2009,Vicki Escarra,,Humanitarian of the Year,,Winner
Hugo's,2009,Hugo's,Robert Evans,Best Chef: Northeast,"Portland, Maine",Winner
Arrows,2009,Arrows,Clark Frasier,Best Chef: Northeast,"Ogunqiit,Ogunquit, Maine",Nominee
