name,year,place,chef,category,location,ranking
Adda,2020,Adda,Chintan Pandya,Best Chef: New York State,"New York, New York",Semifinalist
Teton Thai,2020,Teton Thai,Suchada Johnson,Best Chef: Mountain,"Teton Village, Wyoming",Semifinalist
Superiority Burger,2020,Superiority Burger,Brooks Headley,Best Chef: New York State,"New York, New York",Nominee
Californios,2020,Californios,Val M. Cantu,Best Chef: California,"San Francisco, California",Semifinalist
ATLA,2020,ATLA,Daniela Soto-Innes,Outstanding Chef,"New York, New York",Nominee
Snake River Grill,2020,Snake River Grill,Jeff Drew,Best Chef: Mountain,"Jackson, Wyoming",Nominee
HaiSous,2020,HaiSous,Thai Dang,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Top Taste Restaurant,2020,Top Taste Restaurant,Albert Bartley,Best Chef: New York State,"Kingston, New York",Semifinalist
Mister Jiu’s,2020,Mister Jiu’s,Brandon Jew,Best Chef: California,"San Francisco, California",Nominee
In Situ,2020,In Situ,Ian Scaramuzza,Best Chef: California,"San Francisco, California",Semifinalist
Aquavit,2020,Aquavit,Emma C Bengtsson,Best Chef: New York State,"New York, New York",Semifinalist
Haenyeo,2020,Haenyeo,Jenny Kwak,Best Chef: New York State,"Brooklyn, New York",Semifinalist
Table X Restaurant,2020,Table X Restaurant,David Barboza,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
Beckon,2020,Beckon,Duncan Holmes,Best Chef: Mountain,"Denver, Colorado",Semifinalist
Spoonbill Watering Hole & Restaurant,2020,Spoonbill Watering Hole & Restaurant,Spoonbill Watering Hole & Restaurant,Outstanding Restaurant Design (75 Seats and Under),"Lafayette, Louisiana",Nominee
Uptown Yolk,2020,Uptown Yolk,Gregory Collier Jr.,Best Chef: Southeast,"Charlotte, North Carolina",Semifinalist
Please,2020,Please,Ryan Santos,Best Chef: Great Lakes,"Cincinnati, Ohio",Semifinalist
El Taco De Mexico,2020,El Taco De Mexico,,America's Classics,"Denver, Colorado",Winner
Vera's Backyard Bar-B-Que,2020,Vera's Backyard Bar-B-Que,,America's Classics,"Brownsville, Texas",Winner
Bluebeard,2020,Bluebeard,Abbi Merriss,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Orsa & Winston,2020,Orsa & Winston,Josef Centeno,Best Chef: California,"Los Angeles, California",Semifinalist
In Situ,2020,In Situ,Brandon Rodgers,Best Chef: California,"San Francisco, California",Semifinalist
Oriental Mart,2020,Oriental Mart,,America's Classics,"Seattle, Washington",Winner
Sarma,2020,Sarma,Cassie Piuma,Best Chef: Northeast,"Somerville, Massachusetts",Nominee
The Club Car,2020,The Club Car,Mayumi Hattori,Best Chef: Northeast,"Nantucket, Massachusetts",Semifinalist
Llama Inn,2020,Llama Inn,Erik Ramirez,Best Chef: New York State,"Brooklyn, New York",Semifinalist
Hell's Backbone Grill & Farm,2020,Hell's Backbone Grill & Farm,Jennifer Lyn Castle,Best Chef: Mountain,"Boulder, Utah",Nominee
